data;tarifa;fonte
01-01-1994;0.32;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-01-1995;0.32;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-01-1996;0.43;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-01-1997;0.50;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-01-1998;0.60;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-01-1999;0.60;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-01-2000;0.70;https://tribunadonorte.com.br/natal/tarifa-aumentou-214-desde-2000/
01-01-2001;0.80;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-01-2002;0.95;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-01-2003;1.10;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-01-2004;1.10;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-01-2005;1.30;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-01-2006;1.45;https://www.pstu.org.br/estudantes-de-natal-enfrentam-repressao-e-marcam-novo-ato-contra-aumento-das-passagens/
01-01-2007;1.60;https://tribunadonorte.com.br/natal/nova-tarifa-de-onibus-e-de-r-175/
01-01-2008;1.75;https://tribunadonorte.com.br/natal/tarifa-de-onibus-em-natal-vai-para-r-185/
01-01-2009;1.85;https://g1.globo.com/Noticias/Brasil/0,,MUL1310181-5598,00-CONFIRA+AS+TARIFAS+DE+ONIBUS+MAIS+CARAS+E+MAIS+BARATAS+DAS+CAPITAIS+BRASILE.html
01-01-2010;2.00;http://lproweb.procempa.com.br/pmpa/prefpoa/observapoa_2011/usu_doc/revista-parte02-modal_onibus-pg_19-38.pdf
01-20-2011;2.20;https://tribunadonorte.com.br/natal/aumento-da-passagem-de-onibus-entra-em-vigor/
08-28-2012;2.40;https://tribunadonorte.com.br/natal/populacao-e-surpreendida-pelo-aumento-na-tarifa-de-onibus/	
05-18-2013;2.40;https://tribunadonorte.com.br/natal/aumento-da-passagem-de-onibus-entra-em-vigor/
06-04-2013;2.30;https://tribunadonorte.com.br/natal/tarifa-passa-a-custar-r-230/
06-23-2013;2.20;https://tribunadonorte.com.br/natal/tarifa-volta-a-r-220-no-domingo/
07-27-2014;2.35;https://g1.globo.com/rn/rio-grande-do-norte/noticia/2014/07/tarifa-de-r-235-comeca-valer-neste-domingo-nos-onibus-de-natal.html
07-18-2015;2.65;https://onibusetransporte.com/2015/07/18/tarifa-de-onibus-sera-de-r-265-em-nata/
01-31-2016;2.90;https://tribunadonorte.com.br/natal/tarifa-de-r-290-esta-em-vigor/
04-24-2017;3.35;https://tribunadonorte.com.br/natal/aumento-da-tarifa-de-onibus-comeca-a-valer-na-segunda-feira/
05-20-2018;3.65;https://tribunadonorte.com.br/natal/nova-tarifa-de-onibus-de-natal-sera-de-r-365/
05-19-2019;4.00;https://tribunadonorte.com.br/natal/nova-tarifa-de-onibus-em-natal-entra-em-vigor-neste-domingo/
11-13-2023;4.50;https://tribunadonorte.com.br/natal/prefeitura-oficializa-reajuste-da-passagem-para-r-450-e-novo-valor-entra-em-vigor-nesta-segunda-13/